06:38.47 | Pair started image024.jpg - image025.jpg
06:38.47 | EXIF time read image024.jpg
06:38.47 | EXIF time read image025.jpg
06:38.57 | Image load success image024.jpg
06:38.66 | Image load success image025.jpg
06:39.83 | Match count 615
06:39.83 | Speed rejected - Invalid distance
06:39.83 | Pair started image024.jpg - image026.jpg
06:39.84 | EXIF time read image024.jpg
06:39.84 | EXIF time read image026.jpg
06:39.84 | Pair skipped - Invalid dt
06:39.84 | Pair started image025.jpg - image026.jpg
06:39.84 | EXIF time read image025.jpg
06:39.85 | EXIF time read image026.jpg
06:39.94 | Image load success image025.jpg
06:40.03 | Image load success image026.jpg
06:41.19 | Match count 594
06:41.19 | Speed calculated image025.jpg - image026.jpg - 6.3004
06:41.19 | Pair started image025.jpg - image027.jpg
06:41.19 | EXIF time read image025.jpg
06:41.20 | EXIF time read image027.jpg
06:41.20 | Pair skipped - Invalid dt
06:41.20 | Pair started image026.jpg - image027.jpg
06:41.20 | EXIF time read image026.jpg
06:41.21 | EXIF time read image027.jpg
06:41.30 | Image load success image026.jpg
06:41.38 | Image load success image027.jpg
06:42.53 | Match count 483
06:42.53 | Speed calculated image026.jpg - image027.jpg - 7.9988
06:42.53 | Pair started image026.jpg - image028.jpg
06:42.54 | EXIF time read image026.jpg
06:42.54 | EXIF time read image028.jpg
06:42.54 | Pair skipped - Invalid dt
06:42.54 | Pair started image027.jpg - image028.jpg
06:42.54 | EXIF time read image027.jpg
06:42.55 | EXIF time read image028.jpg
06:42.64 | Image load success image027.jpg
06:42.73 | Image load success image028.jpg
06:43.86 | Match count 478
06:43.87 | Speed calculated image027.jpg - image028.jpg - 6.7366
06:43.87 | Pair started image027.jpg - image029.jpg
06:43.87 | EXIF time read image027.jpg
06:43.87 | EXIF time read image029.jpg
06:43.87 | Pair skipped - Invalid dt
06:43.87 | Pair started image028.jpg - image029.jpg
06:43.88 | EXIF time read image028.jpg
06:43.88 | EXIF time read image029.jpg
06:43.97 | Image load success image028.jpg
06:44.05 | Image load success image029.jpg
06:45.18 | Match count 447
06:45.18 | Speed calculated image028.jpg - image029.jpg - 6.6066
06:45.18 | Pair started image028.jpg - image030.jpg
06:45.18 | EXIF time read image028.jpg
06:45.19 | EXIF time read image030.jpg
06:45.19 | Pair skipped - Invalid dt
06:45.19 | Pair started image029.jpg - image030.jpg
06:45.19 | EXIF time read image029.jpg
06:45.19 | EXIF time read image030.jpg
06:45.28 | Image load success image029.jpg
06:45.37 | Image load success image030.jpg
06:46.49 | Match count 511
06:46.49 | Speed calculated image029.jpg - image030.jpg - 6.5398
06:46.49 | Pair started image029.jpg - image031.jpg
06:46.49 | EXIF time read image029.jpg
06:46.50 | EXIF time read image031.jpg
